country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,0.999,
Burkina Faso,0.298,,,,,,,,,,,,,,,,0.529,,,,,0.549,,,,,,,0.646,,0.656,,0.709,,,
Burundi,,,,,0.525,,,,,,,,,,,0.807,,,,,,,,,,0.917,,,,,,,,,0.992,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,0.868,,,,,,0.897,,,,0.957,,
Cameroon,,0.742,,,,,,,,,,,,,,,,,,,,,,,,0.882,,,,,,,0.867,,,
Cape Verde,,,,,,,,,,,,,,,,0.961,,,,,,,,,,,,,,1.02,,,,,1.02,
Central African Republic,0.333,,,,,,,,,,,,,0.557,,,,,,,,,,,,0.666,,,,,,,,,0.794,
Chad,,,,,,,,,,,,,,,,,,,0.341,,,,,,,0.417,,,,0.573,,,,,0.728,
Chile,,,,,,,,1.01,,,,,,,,,,1.01,,,,,,,,,,1,,,,,,1,,
China,,,,,,,,0.862,,,,,,,,0.943,,,,,,,,,,0.993,,,,,,,,,0.998,
Colombia,,,,,,,,,,,,,,,,,,,1.03,,,1.01,,,,,,,,1.01,1.01,1.01,1.01,1.01,1.01,
Comoros,,,,,,0.792,,,,,,,,,,,,,,,,,,,,0.924,,,,,,,,,0.987,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,0.809,,,,,,,,0.848,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.899,,,,,
Costa Rica,,,,,,,,,,1.01,,,,,,,,,,,,,,,,1.01,,,,,,,,,1.01,
Cote d'Ivoire,,,,,,,,,,,,,,0.631,,,,,,,,,,0.733,,0.736,,,,,,,,,0.845,
Croatia,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,1,0.974,0.974,0.974,,,,,1,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
Cyprus,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,
Dominican Republic,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,1.03,,,,,1.02,,,
Ecuador,,,,,,,,0.976,,,,,,,,0.992,,,,,,,,,,,1,,,,,,1,,1,
Egypt,,0.605,,,,,,,,,,0.757,,,,,,,,,,0.847,,,,,,,,,0.877,0.93,,,,
El Salvador,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1.01,1.01,1.01,1.01,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1.01,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.806,,,,,,,0.936,
Estonia,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,
Eswatini,,0.985,,,,,,,,,,1.02,,,,,,,,,,,,,,1.03,,,,,,,,,1.03,
Ethiopia,,,,,,,,,,,,,,,,,,,,0.715,,,,,,,,,,0.619,,,,0.596,,
Gabon,,,,,,,,,,,,,,,,,,,0.976,,,,,,,,,,,0.978,,,,,0.98,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,0.643,,,,,,,,,0.845,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,0.862,,,,,,,,,0.973,
Greece,,,,,,,0.998,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,0.999,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
